title,imdb_movie_id
Sound of Metal,tt5363618
Last Christmas,tt8623904
Pinocchio,tt8333746
Klaus,tt4729430
The Gentlemen,tt8367814
Bombshell,tt6394270
Knives Out,tt8946378
1917,tt8579674
Mosul,tt9252468
Star Wars: Episode IX - The Rise of Skywalker,tt2527338
Avengers: Endgame,tt4154796
Gisaengchung,tt6751668
Once Upon a Time... in Hollywood,tt7131622
Joker,tt7286456
Noelle,tt5097410
Jojo Rabbit,tt2584384
Little Women,tt3281548
Midsommar,tt8772262
Spider-Man: Far from Home,tt6320628
After,tt4126476
The Irishman,tt1302006
The Lighthouse,tt7984734
Ford v Ferrari,tt1950186
Terminator: Dark Fate,tt6450804
Doctor Sleep,tt5606664
Cats,tt5697572
Uncut Gems,tt5727208
The Lion King,tt6105098
The King,tt7984766
The Outpost,tt3833480
6 Underground,tt8106534
Captain Marvel,tt4154664
Buddy Games,tt7070818
Jumanji: The Next Level,tt7975244
Us,tt6857112
Richard Jewell,tt3513548
The Peanut Butter Falcon,tt4364194
American Skin,tt10195452
Dark Waters,tt9071322
Portrait de la jeune fille en feu,tt8613070
John Wick: Chapter 3 - Parabellum,tt6146586
Midway,tt6924650
Let It Snow,tt1950235
The Dead Don't Die,tt8695030
Alita: Battle Angel,tt0437086
Aladdin,tt6139732
Gemini Man,tt1025100
Glass,tt6823368
Polar,tt4139588
Frozen II,tt4520988
Fast & Furious Presents: Hobbs & Shaw,tt6806448
The Knight Before Christmas,tt10060094
Charlie's Angels,tt5033998
Dreamland,tt5294522
Rocketman,tt2066051
It Chapter Two,tt7349950
Shazam!,tt0448115
Infidel,tt11229780
Ready or Not,tt7798634
Ad Astra,tt2935510
A Beautiful Day in the Neighborhood,tt3224458
El hoyo,tt8228288
Marriage Story,tt7653254
Radioactive,tt6017756
Waiting for the Barbarians,tt6149154
21 Bridges,tt8688634
Dark Phoenix,tt6565702
Cold Pursuit,tt5719748
"Extremely Wicked, Shockingly Evil and Vile",tt2481498
Hustlers,tt5503686
Toy Story 4,tt1979376
Booksmart,tt1489887
Motherless Brooklyn,tt0385887
Swallow,tt8372298
Anna,tt7456310
Honey Boy,tt8151874
Judy,tt7549996
Angel Has Fallen,tt6189022
Triple Frontier,tt1488606
Zombieland: Double Tap,tt1560220
Ip Man: Kung Fu Master,tt12567246
Godzilla: King of the Monsters,tt3741700
Dirty God,tt7334342
The Professor and the Madman,tt5932728
I See You,tt6079516
Guns Akimbo,tt6902676
Black Christmas,tt10481868
The Informer,tt1833116
Yesterday,tt8079248
A Rainy Day in New York,tt7139936
Tayna pechati drakona,tt6218010
"Yes, God, Yes",tt8949056
Just Mercy,tt4916630
The Assistant,tt9000224
El Camino: A Breaking Bad Movie,tt9243946
Downton Abbey,tt6398184
Color Out of Space,tt5073642
Vivarium,tt8368406
A Very British Christmas,tt9815084
First Cow,tt9231040
